wavelength(nm)	photodiode(V)	power(W)
892.4625312186745	2.5924666666666667	0.001825518
887.975068301907	2.9787	0.0021989415
892.5437867064766	2.6181333333333336	0.0018711534
889.3911002332551	2.6376	0.001900707
893.0202800634295	2.5905	0.0020631035
896.7135246399454	2.533066666666667	0.0017380739
892.7864174224503	2.5261	0.001839282
896.7161233012808	2.3790666666666667	0.0017321291
897.2007960729901	2.7328333333333332	0.0020387745
900.7698654239822	2.6224333333333334	0.0021322959
897.8288972039722	2.5016666666666665	0.0017674253
900.7172415369549	2.8425	0.0022701393
901.5529901740606	2.6241	0.0019033967
904.8448265732111	2.5344	0.0020843495
901.3207791843636	2.683533333333333	0.0021694095
904.8448434651029	2.6720666666666673	0.0022075314
905.8186624571498	2.601866666666667	0.0020183285
909.1323636147662	2.721966666666667	0.0018692955
906.1824634394056	2.9064666666666668	0.0022004321
909.3755072804712	2.6470000000000002	0.0018903334
906.7614598459721	2.930833333333333	0.0022757808
911.2259041563177	2.4207	0.0018352479
909.8789890906336	2.6970666666666663	0.0022631527
915.0813436088042	2.3172666666666664	0.0017032898
912.46235267843	2.4194333333333335	0.0017093106
914.0832290289584	2.4661333333333335	0.0017980657
915.0810676222801	2.349333333333333	0.0018549946
918.2932275256303	2.3687	0.0018894577
915.2021943054896	2.4842666666666666	0.0020363652
918.2932214816891	2.3620666666666663	0.0018059874
919.1728445365811	2.4862	0.0021038463
922.5863485036324	2.316466666666667	0.0015596665
918.5451459797504	2.3403333333333336	0.0015731306
923.0499167124384	2.1733666666666664	0.0019000662
920.4376407638251	2.2783	0.001550359
926.8336156111435	2.2993666666666663	0.0020604443
922.8711029820954	2.5142333333333333	0.0019564922
